variant,robust_mode,robust_metric,robust_mad_k,seed,battery,best_epoch,re,mae,rmse
NASA_EOL_AttMoE_hardconstraint_robustseed_v1,topk,val_re_mean,1.0,0,B0005,1000,0.009433962264150943,0.05940378959798531,0.07317835625286634
NASA_EOL_AttMoE_hardconstraint_robustseed_v1,topk,val_re_mean,1.0,0,B0006,100,0.022222222222222223,0.06872131325860907,0.08606296497735098
NASA_EOL_AttMoE_hardconstraint_robustseed_v1,topk,val_re_mean,1.0,0,B0007,200,0.271523178807947,0.11968207132154941,0.12704009733576077
NASA_EOL_AttMoE_hardconstraint_robustseed_v1,topk,val_re_mean,1.0,0,B0018,100,0.14102564102564102,0.05788175433090414,0.06993175464118136
NASA_EOL_AttMoE_hardconstraint_robustseed_v1,topk,val_re_mean,1.0,2,B0005,200,0.02830188679245283,0.04981390900520586,0.06370129658043083
NASA_EOL_AttMoE_hardconstraint_robustseed_v1,topk,val_re_mean,1.0,2,B0006,100,0.12222222222222222,0.055288838534013916,0.06477758242338491
NASA_EOL_AttMoE_hardconstraint_robustseed_v1,topk,val_re_mean,1.0,2,B0007,300,0.32450331125827814,0.11137922167195587,0.11329904747932372
NASA_EOL_AttMoE_hardconstraint_robustseed_v1,topk,val_re_mean,1.0,2,B0018,200,0.3333333333333333,0.04087845298382161,0.047558592335950424
NASA_EOL_AttMoE_hardconstraint_robustseed_v1,topk,val_re_mean,1.0,3,B0005,200,0.05660377358490566,0.048285668043344374,0.05695804026557219
NASA_EOL_AttMoE_hardconstraint_robustseed_v1,topk,val_re_mean,1.0,3,B0006,100,0.022222222222222223,0.040471598964247485,0.048450105631362525
NASA_EOL_AttMoE_hardconstraint_robustseed_v1,topk,val_re_mean,1.0,3,B0007,200,0.31125827814569534,0.10253849023432329,0.1073725741359674
NASA_EOL_AttMoE_hardconstraint_robustseed_v1,topk,val_re_mean,1.0,3,B0018,200,0.3076923076923077,0.04531503191621925,0.05334092979707982
NASA_EOL_AttMoE_hardconstraint_robustseed_v1,topk,val_re_mean,1.0,4,B0005,1100,0.009433962264150943,0.05934254839124146,0.07312337005320253
NASA_EOL_AttMoE_hardconstraint_robustseed_v1,topk,val_re_mean,1.0,4,B0006,1800,0.6,0.11423939844529009,0.12897759758499447
NASA_EOL_AttMoE_hardconstraint_robustseed_v1,topk,val_re_mean,1.0,4,B0007,200,0.2913907284768212,0.11908354279428328,0.1251000532901183
NASA_EOL_AttMoE_hardconstraint_robustseed_v1,topk,val_re_mean,1.0,4,B0018,2000,0.2564102564102564,0.038635399545735936,0.045656700881647465
