seed,battery,variant,best_metric,baseline_re,baseline_mae,baseline_rmse,hard_priority,feature_size,lr,hidden_dim,num_experts,eol_state_dim,eol_gamma_init,eol_correction_scale,eol_loss_weight,eol_loss_band,eol_threshold_norm,eol_enable_correction,best_epoch,best_select_value,re,mae,rmse,all_three_improved,val_re,val_mae,val_rmse,val_composite,val_count
0,B0005,NASA_EOL_AttMoE_hardconstraint_robustseed_v1,hard,0.2005,0.078,0.0892,all,16,0.0001,64,16,16,-3.0,0.05,0.0,0.08,0.7,True,1000,0.0032580487735258024,0.009433962264150943,0.05940378959798531,0.07317835625286634,True,0.29919812833720116,0.06879842139412207,0.07608569243457153,0.15984402024555366,3
0,B0006,NASA_EOL_AttMoE_hardconstraint_robustseed_v1,hard,0.2005,0.078,0.0892,all,16,0.0001,64,16,16,-3.0,0.05,0.0,0.08,0.7,True,100,0.003913415899264469,0.022222222222222223,0.06872131325860907,0.08606296497735098,True,0.2563333621686739,0.10061184097229925,0.11390199524665066,0.22733050432738358,3
0,B0007,NASA_EOL_AttMoE_hardconstraint_robustseed_v1,hard,0.2005,0.078,0.0892,all,16,0.0001,64,16,16,-3.0,0.05,0.0,0.08,0.7,True,200,4.00993849655743,0.271523178807947,0.11968207132154941,0.12704009733576077,False,0.20514970703649948,0.06369858492710499,0.07851197964199712,0.15246804992092708,3
0,B0018,NASA_EOL_AttMoE_hardconstraint_robustseed_v1,hard,0.2005,0.078,0.0892,all,16,0.0001,64,16,16,-3.0,0.05,0.0,0.08,0.7,True,100,0.004458863669717131,0.14102564102564102,0.05788175433090414,0.06993175464118136,True,0.32927837246217856,0.11927583378345226,0.13268123502335832,0.26842098742991954,3
1,B0005,NASA_EOL_AttMoE_hardconstraint_robustseed_v1,hard,0.2005,0.078,0.0892,all,16,0.0001,64,16,16,-3.0,0.05,0.0,0.08,0.7,True,1600,0.003281032519260429,0.018867924528301886,0.05778733592604915,0.07185493661934964,True,0.30140563385596497,0.0689774671745914,0.0759840169074126,0.16003176577480227,3
1,B0006,NASA_EOL_AttMoE_hardconstraint_robustseed_v1,hard,0.2005,0.078,0.0892,all,16,0.0001,64,16,16,-3.0,0.05,0.0,0.08,0.7,True,2000,4.0149312883610175,0.6111111111111112,0.11494924555449734,0.1298263297984159,False,0.42559040359865047,0.05361864972768534,0.06005156214723251,0.13494973205485036,3
1,B0007,NASA_EOL_AttMoE_hardconstraint_robustseed_v1,hard,0.2005,0.078,0.0892,all,16,0.0001,64,16,16,-3.0,0.05,0.0,0.08,0.7,True,1000,1.0082637805114052,0.1456953642384106,0.11678283824243492,0.12841269301296943,False,0.5566037735849056,0.07131877795085961,0.08635426590806618,0.18550323253817105,3
1,B0018,NASA_EOL_AttMoE_hardconstraint_robustseed_v1,hard,0.2005,0.078,0.0892,all,16,0.0001,64,16,16,-3.0,0.05,0.0,0.08,0.7,True,1900,2.004863484535518,0.2564102564102564,0.03889114320113084,0.045925212978362676,False,0.23405991271791596,0.07405873267176728,0.08254284124959743,0.1683045695572605,3
2,B0005,NASA_EOL_AttMoE_hardconstraint_robustseed_v1,hard,0.2005,0.078,0.0892,all,16,0.0001,64,16,16,-3.0,0.05,0.0,0.08,0.7,True,200,0.0029878729956462472,0.02830188679245283,0.04981390900520586,0.06370129658043083,True,0.27113450689609636,0.06866009103504757,0.07457716192418665,0.15679397830403904,3
2,B0006,NASA_EOL_AttMoE_hardconstraint_robustseed_v1,hard,0.2005,0.078,0.0892,all,16,0.0001,64,16,16,-3.0,0.05,0.0,0.08,0.7,True,100,0.004089248974937899,0.12222222222222222,0.055288838534013916,0.06477758242338491,True,0.38874364421034424,0.1531890897414044,0.1618849103093676,0.3345111822612892,3
2,B0007,NASA_EOL_AttMoE_hardconstraint_robustseed_v1,hard,0.2005,0.078,0.0892,all,16,0.0001,64,16,16,-3.0,0.05,0.0,0.08,0.7,True,300,4.0099497334401955,0.32450331125827814,0.11137922167195587,0.11329904747932372,False,0.17565983981078323,0.05580687285936876,0.06311715347422281,0.12770701832413076,3
2,B0018,NASA_EOL_AttMoE_hardconstraint_robustseed_v1,hard,0.2005,0.078,0.0892,all,16,0.0001,64,16,16,-3.0,0.05,0.0,0.08,0.7,True,200,2.0061020327841734,0.3333333333333333,0.04087845298382161,0.047558592335950424,False,0.22556309902305152,0.07449910098604529,0.08363935475239444,0.16941661068959232,3
3,B0005,NASA_EOL_AttMoE_hardconstraint_robustseed_v1,hard,0.2005,0.078,0.0892,all,16,0.0001,64,16,16,-3.0,0.05,0.0,0.08,0.7,True,200,0.00307980632739268,0.05660377358490566,0.048285668043344374,0.05695804026557219,True,0.29129073036357805,0.07448720337429883,0.0813130424387204,0.17036478233119814,3
3,B0006,NASA_EOL_AttMoE_hardconstraint_robustseed_v1,hard,0.2005,0.078,0.0892,all,16,0.0001,64,16,16,-3.0,0.05,0.0,0.08,0.7,True,100,0.0023457265972123375,0.022222222222222223,0.040471598964247485,0.048450105631362525,True,0.32136399704811547,0.14181953629126723,0.1563504515923853,0.3142381877360583,3
3,B0007,NASA_EOL_AttMoE_hardconstraint_robustseed_v1,hard,0.2005,0.078,0.0892,all,16,0.0001,64,16,16,-3.0,0.05,0.0,0.08,0.7,True,200,4.009212204409058,0.31125827814569534,0.10253849023432329,0.1073725741359674,False,0.19643605870020964,0.06128541375313948,0.0671624057906321,0.13826962247878208,3
3,B0018,NASA_EOL_AttMoE_hardconstraint_robustseed_v1,hard,0.2005,0.078,0.0892,all,16,0.0001,64,16,16,-3.0,0.05,0.0,0.08,0.7,True,200,2.0059617837963297,0.3076923076923077,0.04531503191621925,0.05334092979707982,False,0.24037791383786636,0.07379858745687036,0.08295655305202122,0.1687740362007849,3
4,B0005,NASA_EOL_AttMoE_hardconstraint_robustseed_v1,hard,0.2005,0.078,0.0892,all,16,0.0001,64,16,16,-3.0,0.05,0.0,0.08,0.7,True,1100,0.003255245611741506,0.009433962264150943,0.05934254839124146,0.07312337005320253,True,0.3071753363144092,0.06889310675717192,0.07616932866428651,0.1604212022371789,3
4,B0006,NASA_EOL_AttMoE_hardconstraint_robustseed_v1,hard,0.2005,0.078,0.0892,all,16,0.0001,64,16,16,-3.0,0.05,0.0,0.08,0.7,True,1800,4.014709190704673,0.6,0.11423939844529009,0.12897759758499447,False,0.42559040359865047,0.05334072041204418,0.05974429641258854,0.13436453700456524,3
4,B0007,NASA_EOL_AttMoE_hardconstraint_robustseed_v1,hard,0.2005,0.078,0.0892,all,16,0.0001,64,16,16,-3.0,0.05,0.0,0.08,0.7,True,200,4.0101474981811895,0.2913907284768212,0.11908354279428328,0.1251000532901183,False,0.1943557490727302,0.0609820564351669,0.07537011829808361,0.14606996218688703,3
4,B0018,NASA_EOL_AttMoE_hardconstraint_robustseed_v1,hard,0.2005,0.078,0.0892,all,16,0.0001,64,16,16,-3.0,0.05,0.0,0.08,0.7,True,2000,2.0048509065552937,0.2564102564102564,0.038635399545735936,0.045656700881647465,False,0.23405991271791596,0.07348179567994115,0.08197852335518784,0.16716331467102477,3
